isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM3428311
FALSE	e	NA	NA	GSM3428312
FALSE	e	NA	NA	GSM3428313
FALSE	e	NA	NA	GSM3428314
FALSE	e	NA	NA	GSM3428315
FALSE	e	NA	NA	GSM3428316
FALSE	e	NA	NA	GSM3428317
FALSE	e	NA	NA	GSM3428318
FALSE	e	NA	NA	GSM3428319
FALSE	e	NA	NA	GSM3428320
FALSE	e	NA	NA	GSM3428321
FALSE	e	NA	NA	GSM3428322
FALSE	e	NA	NA	GSM3428323
FALSE	e	NA	NA	GSM3428324
FALSE	e	NA	NA	GSM3428325
FALSE	e	NA	NA	GSM3428326
FALSE	e	NA	NA	GSM3428327
FALSE	e	NA	NA	GSM3428328
FALSE	e	NA	NA	GSM3428329
FALSE	e	NA	NA	GSM3428330
FALSE	e	NA	NA	GSM3428331
FALSE	e	NA	NA	GSM3428332
FALSE	e	NA	NA	GSM3428333
FALSE	e	NA	NA	GSM3428334
FALSE	e	NA	NA	GSM3428335
FALSE	e	NA	NA	GSM3428336
FALSE	e	NA	NA	GSM3428337
FALSE	e	NA	NA	GSM3428338
FALSE	e	NA	NA	GSM3428339
FALSE	e	NA	NA	GSM3428340
FALSE	e	NA	NA	GSM3428341
FALSE	e	NA	NA	GSM3428342
FALSE	e	NA	NA	GSM3428343
FALSE	e	NA	NA	GSM3428344
FALSE	e	NA	NA	GSM3428345
FALSE	e	NA	NA	GSM3428346
FALSE	e	NA	NA	GSM3428347
FALSE	e	NA	NA	GSM3428348
FALSE	e	NA	NA	GSM3428349
FALSE	e	NA	NA	GSM3428350
FALSE	e	NA	NA	GSM3428351
FALSE	e	NA	NA	GSM3428352
FALSE	e	NA	NA	GSM3428353
FALSE	e	NA	NA	GSM3428354
FALSE	e	NA	NA	GSM3428355
FALSE	e	NA	NA	GSM3428356
FALSE	e	NA	NA	GSM3428357
FALSE	e	NA	NA	GSM3428358
FALSE	e	NA	NA	GSM3428359
FALSE	e	NA	NA	GSM3428360
FALSE	e	NA	NA	GSM3428361
FALSE	e	NA	NA	GSM3428362
FALSE	e	NA	NA	GSM3428363
FALSE	e	NA	NA	GSM3428364
FALSE	e	NA	NA	GSM3428365
FALSE	e	NA	NA	GSM3428366
FALSE	e	NA	NA	GSM3428367
FALSE	e	NA	NA	GSM3428368
FALSE	e	NA	NA	GSM3428369
FALSE	e	NA	NA	GSM3428370
FALSE	e	NA	NA	GSM3428371
FALSE	e	NA	NA	GSM3428372
FALSE	e	NA	NA	GSM3428373
FALSE	e	NA	NA	GSM3428374
FALSE	e	NA	NA	GSM3428375
FALSE	e	NA	NA	GSM3428376
FALSE	e	NA	NA	GSM3428377
FALSE	e	NA	NA	GSM3428378
FALSE	e	NA	NA	GSM3428379
FALSE	e	NA	NA	GSM3428380
FALSE	e	NA	NA	GSM3428381
FALSE	e	NA	NA	GSM3428382
FALSE	e	NA	NA	GSM3428383
FALSE	e	NA	NA	GSM3428384
FALSE	e	NA	NA	GSM3428385
FALSE	e	NA	NA	GSM3428386
FALSE	e	NA	NA	GSM3428387
FALSE	e	NA	NA	GSM3428388
FALSE	e	NA	NA	GSM3428389
FALSE	e	NA	NA	GSM3428390
FALSE	e	NA	NA	GSM3428391
FALSE	e	NA	NA	GSM3428392
FALSE	e	NA	NA	GSM3428393
FALSE	e	NA	NA	GSM3428394
FALSE	e	NA	NA	GSM3428395
FALSE	e	NA	NA	GSM3428396
FALSE	e	NA	NA	GSM3428397
FALSE	e	NA	NA	GSM3428398
FALSE	e	NA	NA	GSM3428399
FALSE	e	NA	NA	GSM3428400
FALSE	e	NA	NA	GSM3428401
FALSE	e	NA	NA	GSM3428402
FALSE	e	NA	NA	GSM3428403
FALSE	e	NA	NA	GSM3428404
FALSE	e	NA	NA	GSM3428405
FALSE	e	NA	NA	GSM3428406
FALSE	e	NA	NA	GSM3428407
FALSE	e	NA	NA	GSM3428408
