ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2058782	6.59e-69	1.51e-73	-1.98e+01	156.13942	-5.51	572871494	IFI27	interferon alpha inducible protein 27
ILMN_1657871	6.14e-66	2.80e-70	-1.92e+01	148.712341	-3.76	90186265	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_1723912	1.22e-61	8.36e-66	-1.85e+01	138.547144	-3.66	732662992	IFI44L	interferon induced protein 44 like
ILMN_1760062	2.33e-61	2.13e-65	-1.84e+01	137.626068	-2.67	166706910	IFI44	interferon induced protein 44
ILMN_1739428	1.42e-59	1.62e-63	-1.81e+01	133.350445	-1.85	153082754	IFIT2	interferon induced protein with tetratricopeptide repeats 2
ILMN_1707695	1.04e-58	1.42e-62	-1.79e+01	131.208595	-2.83	400286377	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_2388547	8.95e-58	1.43e-61	-1.78e+01	128.93132	-2.35	388240825	EPSTI1	epithelial stromal interaction 1 (breast)
ILMN_1729749	6.09e-56	1.11e-59	-1.74e+01	124.636161	-2.43	380420368	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ILMN_1701789	1.56e-55	3.21e-59	-1.74e+01	123.590577	-2.50	576795828	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_2347798	3.07e-55	7.01e-59	-1.73e+01	122.820507	-2.43	94538329	IFI6	interferon alpha inducible protein 6
ILMN_1835092	4.24e-55	1.06e-58	-1.73e+01	122.408629	-3.26	21176493	IFI44L	interferon induced protein 44 like
ILMN_1674811	1.24e-53	3.40e-57	-1.70e+01	118.99272	-2.47	387849326	OASL	2'-5'-oligoadenylate synthetase like
ILMN_1805750	3.23e-53	9.58e-57	-1.69e+01	117.96925	-2.16	148612841	IFITM3	interferon induced transmembrane protein 3
ILMN_1731224	8.74e-53	2.79e-56	-1.69e+01	116.913753	-1.42	226371705	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_1664543	8.77e-53	3.00e-56	-1.69e+01	116.842246	-2.83	576795828	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1662358	4.16e-49	1.52e-52	-1.62e+01	108.428431	-1.95	544711172	MX1	MX dynamin like GTPase 1
ILMN_1706502	5.92e-49	2.30e-52	-1.62e+01	108.021755	-1.66	351542235	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
ILMN_1785732	1.10e-48	4.52e-52	-1.61e+01	107.353663	-1.80	315139000	TNFAIP6	TNF alpha induced protein 6
ILMN_1765994	5.36e-48	2.32e-51	-1.60e+01	105.739163	-1.77	238550205	ZBP1	Z-DNA binding protein 1
ILMN_1787509	5.37e-48	2.45e-51	-1.60e+01	105.686973	-1.42	156105694	HELZ2	helicase with zinc finger 2
ILMN_1745397	1.97e-47	9.73e-51	-1.59e+01	104.327628	-2.51	733216600	OAS3	2'-5'-oligoadenylate synthetase 3
ILMN_2239754	1.97e-47	9.89e-51	-1.59e+01	104.311232	-2.28	576795860	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1742618	6.50e-46	3.41e-49	-1.56e+01	100.818339	-1.92	378925605	XAF1	XIAP associated factor 1
ILMN_3243928	1.67e-45	9.14e-49	-1.55e+01	99.847349	-1.51	613410188	DDX60L	DEAD-box helicase 60-like
ILMN_1745242	4.57e-45	2.61e-48	-1.54e+01	98.81179	-1.78	176865826	PLSCR1	phospholipid scramblase 1
ILMN_1779252	4.27e-44	2.54e-47	-1.52e+01	96.569434	-1.37	313760627	TRIM22	tripartite motif containing 22
ILMN_2410826	1.48e-42	9.14e-46	-1.50e+01	93.034753	-2.35	992319652	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1691364	2.57e-41	1.64e-44	-1.47e+01	90.185908	-1.00	189458858	STAT1	signal transducer and activator of transcription 1
ILMN_1762725	3.34e-41	2.21e-44	1.47e+01	89.892256	9.63e-01	339275829	EIF3L	eukaryotic translation initiation factor 3 subunit L
ILMN_1681721	4.82e-41	3.30e-44	-1.47e+01	89.499329	-2.02	387849325	OASL	2'-5'-oligoadenylate synthetase like
ILMN_2231928	8.45e-41	5.98e-44	-1.46e+01	88.912584	-1.17	11342663	MX2	MX dynamin like GTPase 2
ILMN_2053527	1.30e-39	9.47e-43	-1.44e+01	86.189865	-1.35	226371705	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_1751886	2.64e-39	1.99e-42	-1.43e+01	85.458934	-1.05	115430228	REC8	REC8 meiotic recombination protein
ILMN_2054019	2.98e-39	2.31e-42	-1.43e+01	85.309401	-2.51	193083170	ISG15	ISG15 ubiquitin-like modifier
ILMN_3241446	1.49e-38	1.19e-41	-1.42e+01	83.694152	-1.18	226693322	ODF3B	outer dense fiber of sperm tails 3B
ILMN_3253787	2.17e-38	1.78e-41	-1.41e+01	83.294929	-1.55	NA		
ILMN_1753342	3.49e-38	2.95e-41	-1.41e+01	82.801101	-7.26e-01	654823989	SAT1	spermidine/spermine N1-acetyltransferase 1
ILMN_1783621	3.84e-38	3.34e-41	-1.41e+01	82.678421	-2.13	374429550	CMPK2	cytidine/uridine monophosphate kinase 2
ILMN_1689734	1.04e-37	9.28e-41	-1.40e+01	81.669752	-1.37	296010861	IL1RN	interleukin 1 receptor antagonist
ILMN_1731418	1.98e-37	1.81e-40	-1.39e+01	81.013107	-8.35e-01	190343007	SP110	SP110 nuclear body protein
ILMN_1716815	4.13e-37	3.87e-40	-1.39e+01	80.263213	-1.49	296317301	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
ILMN_1696654	7.02e-37	6.73e-40	-1.38e+01	79.716954	-1.80	197276666	IFIT5	interferon induced protein with tetratricopeptide repeats 5
ILMN_1675640	1.55e-36	1.52e-39	-1.38e+01	78.912585	-2.10	992319652	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_2044471	3.47e-36	3.49e-39	1.37e+01	78.095234	1.23	224586862	NCR3	natural cytotoxicity triggering receptor 3
ILMN_1695404	2.25e-35	2.31e-38	-1.35e+01	76.233634	-2.02	187827163	LY6E	lymphocyte antigen 6 complex, locus E
ILMN_1758418	4.21e-35	4.42e-38	-1.35e+01	75.592578	-1.07	325053718	TNFSF13B	tumor necrosis factor superfamily member 13b
ILMN_1801246	4.78e-35	5.13e-38	-1.35e+01	75.446129	-1.01	150010588	IFITM1	interferon induced transmembrane protein 1
ILMN_1798181	6.45e-35	7.07e-38	-1.34e+01	75.13013	-1.43	98985817	IRF7	interferon regulatory factor 7
ILMN_2284998	6.92e-35	7.75e-38	-1.34e+01	75.04023	-1.14	122939207	SP100	SP100 nuclear antigen
ILMN_1812070	3.20e-34	3.65e-37	1.33e+01	73.51187	1.01	318037598	ABCB1	ATP binding cassette subfamily B member 1
ILMN_1799467	3.29e-34	3.83e-37	-1.33e+01	73.466578	-1.45	745399079	SAMD9L	sterile alpha motif domain containing 9 like
ILMN_2139100	5.25e-34	6.24e-37	-1.32e+01	72.984997	-9.46e-01	441418783	SHISA5	shisa family member 5
ILMN_1710937	7.46e-34	9.02e-37	-1.32e+01	72.62119	-9.40e-01	112789561	IFI16	interferon gamma inducible protein 16
ILMN_1699331	1.11e-33	1.37e-36	-1.32e+01	72.208989	-2.20	400286377	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_1848843	1.23e-33	1.54e-36	-1.32e+01	72.092468	-1.69	23368081		
ILMN_2079655	1.47e-33	1.88e-36	1.31e+01	71.897183	1.17	58761538	KLRB1	killer cell lectin like receptor B1
ILMN_1774874	1.90e-33	2.48e-36	-1.31e+01	71.626249	-1.17	296010857	IL1RN	interleukin 1 receptor antagonist
ILMN_1691731	2.05e-33	2.72e-36	-1.31e+01	71.535487	-1.19	154813198	PARP14	poly(ADP-ribose) polymerase family member 14
ILMN_2066858	2.31e-33	3.11e-36	-1.31e+01	71.401835	-1.00	325053718	TNFSF13B	tumor necrosis factor superfamily member 13b
ILMN_1674063	4.08e-33	5.59e-36	-1.30e+01	70.824973	-1.68	74229018	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1797895	4.10e-33	5.71e-36	-1.30e+01	70.802941	-1.05	227430361	FFAR2	free fatty acid receptor 2
ILMN_1690105	4.83e-33	6.84e-36	-1.30e+01	70.625631	-1.07	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1797001	7.94e-33	1.15e-35	-1.30e+01	70.111215	-1.31	77732514	DDX58	DEXD/H-box helicase 58
ILMN_1736863	7.94e-33	1.16e-35	-1.30e+01	70.105356	-1.01	512749781	TMEM140	transmembrane protein 140
ILMN_3238814	1.35e-32	2.00e-35	-1.29e+01	69.566944	-1.64	346227198	SMA4	glucuronidase beta pseudogene
ILMN_1690125	5.01e-32	7.55e-35	-1.28e+01	68.260088	-9.44e-01	520975466	PDLIM7	PDZ and LIM domain 7
ILMN_1736729	6.46e-32	9.88e-35	-1.28e+01	67.994702	-2.05	74229016	OAS2	2'-5'-oligoadenylate synthetase 2
